player,player_id,team,class,poss,position,value_three_pct,value_two_pct,value_ft_pct,value_scoring,color_three_pct,color_two_pct,color_ft_pct,color_scoring,value_assist_rate,value_TO,value_playmaking,color_assist_rate,color_TO,color_playmaking,value_oreb_pct,value_dreb_pct,value_reb_pct,color_oreb_pct,color_dreb_pct,color_reb_pct,value_blk_pct,value_STL,value_PF,value_D,color_blk_pct,color_STL,color_PF,color_D
Anthony Knowles,2567126,Florida A&M,FR,283,SF,32.6585199585521,41.5945156555688,76.118035609435,17.6146219707315,#FFFFFF,#CBDEF0,#FFFFFF,#FFFFFF,12.229328444242,4.360087612135,-4.12077183164678,#FFFFFF,#DCE9F5,#FFFFFF,1.67016204513378,9.53495496876279,11.2051170138966,#DCE9F5,#DCE9F5,#DCE9F5,0.4301970341656,1.17972555005411,5.4229531830653,-1.1381049,#DCE9F5,#DCE9F5,#FFFFFF,#DCE9F5
Daniel Mayfield,2335733,Mississippi Valley State,SR,1380,C,32.2189182247691,45.9351707421732,75.9995027561654,25.6292766474066,#FFFFFF,#DCE9F5,#FFFFFF,#FFEBD2,8.56879725660783,3.72384103829521,-5.01372824183967,#FFFFFF,#FFFFFF,#DCE9F5,6.01489416917351,17.418243473104,23.4331376422775,#FFFFFF,#FFEBD2,#FFEBD2,3.48100497381264,1.63412925666902,6.01599782895239,-1.3354071,#FFEBD2,#FFFFFF,#FFFFFF,#DCE9F5
Jaden Haire,2558064,Texas A&M-Corpus Christi,JR,365,PF,31.2885800058374,46.0046547133055,65.7350259791489,15.1428573922536,#DCE9F5,#FFFFFF,#DCE9F5,#DCE9F5,7.40569034020749,3.98148740717437,-7.14700323841782,#FFFFFF,#DCE9F5,#DCE9F5,7.01297732825524,13.7737053544157,20.786682682671,#FFFFFF,#FFFFFF,#FFFFFF,1.28184008523661,0.950355425998539,6.06648240526871,-0.8413834,#FFFFFF,#CBDEF0,#FFFFFF,#DCE9F5
James Flippin,2352028,Alabama A&M,SR,384,PF,30.2170486628306,46.4511712660436,60.7799014108676,20.6177077695372,#DCE9F5,#FFFFFF,#DCE9F5,#FFFFFF,11.6889488819296,4.87009383387977,-6.68185657476485,#FFFFFF,#CBDEF0,#DCE9F5,4.61164967193468,15.2483293962913,19.859979068226,#FFFFFF,#FFFFFF,#FFFFFF,2.38044251265495,1.15668609655627,6.65935112941639,-1.1375209,#FFFFFF,#DCE9F5,#DCE9F5,#DCE9F5
Levi Beckwith,2555558,Maryland-Eastern Shore,FR,667,PF,25.4260871077199,43.8072219123656,65.1410793614741,9.91917399831104,#CBDEF0,#DCE9F5,#DCE9F5,#CBDEF0,6.04849673465895,3.0070568550075,-4.50738963577966,#DCE9F5,#FFFFFF,#FFFFFF,3.5748123473991,17.0376712849941,20.6124836323932,#FFFFFF,#FFEBD2,#FFFFFF,3.158087673891,1.73896785900254,6.00364461449689,-0.27993308,#FFEBD2,#FFFFFF,#FFFFFF,#FFFFFF
Matar Diop,2094423,Stetson,JR,620,C,29.5799161910259,50.1122774028257,50.2012598226144,12.6726380757764,#DCE9F5,#FFFFFF,#CBDEF0,#DCE9F5,3.86704747801463,3.44898368925484,-8.3423053441094,#DCE9F5,#FFFFFF,#CBDEF0,8.98111983934428,14.998999234761,23.9801190741053,#FFEBD2,#FFFFFF,#FFEBD2,4.24506027070776,1.54351480038068,5.77195393234143,-1.8022787,#FFEBD2,#FFFFFF,#FFFFFF,#CBDEF0
Cassius Brooks,2127539,UTEP,SR,605,SF,33.7519843305596,41.5058513086531,78.2468160085325,12.0281802495355,#FFFFFF,#CBDEF0,#FFEBD2,#DCE9F5,10.1682816096813,3.22850619100752,-1.51282782947854,#FFFFFF,#FFFFFF,#FFFFFF,2.85377194514099,10.3485877475062,13.2023596926472,#FFFFFF,#FFFFFF,#FFFFFF,0.510483298142814,1.87656849875294,5.90094733078567,-1.5513818,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5
Paris Papadatos,2558303,Saint Francis (PA),FR,419,SG,32.4585539832038,46.4547099978472,74.549213751299,20.8909140501642,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,5.99014618437937,3.93028542655946,-8.27603154981637,#DCE9F5,#DCE9F5,#CBDEF0,2.48790273264387,7.81605569522298,10.3039584278669,#FFFFFF,#DCE9F5,#DCE9F5,0.521148330759842,1.447413212594,5.35642155950252,-2.469455,#DCE9F5,#FFFFFF,#FFFFFF,#CBDEF0
Rocco Awad,2481920,NJIT,FR,702,SF,32.1820448415737,42.6332678886755,76.167001899595,15.3197530243284,#FFFFFF,#DCE9F5,#FFFFFF,#DCE9F5,5.29292484985876,3.09176373930835,-5.56068775500858,#DCE9F5,#FFFFFF,#DCE9F5,2.53619595435768,7.64054316884846,10.1767391232061,#FFFFFF,#DCE9F5,#DCE9F5,0.676781914360505,2.07290015692063,5.0825064676404,-1.4113815,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
Rieco Hellams,2150223,Old Dominion,JR,39,SG,32.3318258968703,41.4785190312868,76.3516126766202,9.41646885317852,#FFFFFF,#CBDEF0,#FFFFFF,#CBDEF0,12.6448545168085,4.17328213866372,-2.97748387417628,#FFFFFF,#DCE9F5,#FFFFFF,1.98271868812832,8.25253689209507,10.2352555802234,#DCE9F5,#DCE9F5,#DCE9F5,0.393429892620148,2.31223325673104,4.99950597886779,-2.3464743,#DCE9F5,#FFEBD2,#FFFFFF,#CBDEF0
Noah Melson,2113892,Fairleigh Dickinson,JR,618,SF,31.5995717530242,40.7904949203772,63.2288488340637,18.1579879953469,#DCE9F5,#CBDEF0,#DCE9F5,#FFFFFF,5.80233426561355,2.22188397717686,-1.58124844862283,#DCE9F5,#FFEBD2,#FFFFFF,1.28451698864653,7.66437972285814,8.94889671150467,#DCE9F5,#DCE9F5,#CBDEF0,0.594816852059686,1.00033325572288,4.46161871660607,-2.4386216,#FFFFFF,#DCE9F5,#FFFFFF,#CBDEF0
Daemar Kelly,2153486,Northern Illinois,JR,964,SF,31.492883851087,43.9815210095209,76.4815361473187,16.757447928364,#DCE9F5,#DCE9F5,#FFFFFF,#FFFFFF,11.2138069704956,3.37181161177302,-1.1032388038057,#FFFFFF,#FFFFFF,#FFFFFF,2.93896923310822,12.7013398793925,15.6403091125007,#FFFFFF,#FFFFFF,#FFFFFF,1.59847730363066,1.66548896122083,4.98312586387914,-1.5995838,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
Deyan Kolev,2555639,Jackson State,FR,227,PF,30.8009609095851,50.6381613736274,62.8646780063539,10.5551094099923,#DCE9F5,#FFFFFF,#DCE9F5,#CBDEF0,4.90178807721514,3.22238349688624,-6.45497194046874,#DCE9F5,#FFFFFF,#DCE9F5,3.30042726484959,13.8878391878595,17.1882664527091,#FFFFFF,#FFFFFF,#FFFFFF,3.60834677793864,1.51547320476132,6.96221633714824,-0.50592369,#FFEBD2,#FFFFFF,#DCE9F5,#FFFFFF
Nazareth Fisher,2324280,Eastern Illinois,SR,721,C,31.235740886003,53.3686302070295,68.5541602383095,15.0018483674085,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5,4.54942556888868,3.90688925970542,-9.54065013724287,#DCE9F5,#DCE9F5,#CBDEF0,11.92144419431,16.9026704691261,28.824114663436,#FFD7A5,#FFEBD2,#FFEBD2,3.41327187171653,1.05760158043964,8.91090705515964,-1.0100435,#FFEBD2,#DCE9F5,#CBDEF0,#DCE9F5
Przemek Hartman,2492285,Louisiana-Monroe,FR,348,SF,28.8796332738954,53.0144164802235,53.9215483843464,16.6517392819716,#CBDEF0,#FFFFFF,#CBDEF0,#FFFFFF,5.49070427805454,3.63181507675288,-7.54647691366039,#DCE9F5,#FFFFFF,#DCE9F5,4.96415650263404,9.88447344272798,14.848629945362,#FFFFFF,#FFFFFF,#FFFFFF,1.74357753170348,0.917240113418029,6.13789886449872,-2.3832402,#FFFFFF,#CBDEF0,#FFFFFF,#CBDEF0
Justin Hinds,2505122,Air Force,FR,540,SF,29.5985872775899,45.4794324831891,68.0616324126965,10.8755231296887,#DCE9F5,#DCE9F5,#FFFFFF,#CBDEF0,9.67230474291243,3.51499694789402,-3.13296402497083,#FFFFFF,#FFFFFF,#FFFFFF,2.66775631447881,13.1256223239059,15.7933786383847,#FFFFFF,#FFFFFF,#FFFFFF,1.85639660266646,1.62702821657833,5.47880847922401,-1.0919139,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
Makoi Mabor Makoi,2283161,UNC Wilmington,SO,375,C,29.4248392936459,49.892843989432,69.2004874762138,10.1610595540314,#CBDEF0,#FFFFFF,#FFFFFF,#CBDEF0,2.10957837635166,4.09968101921724,-12.6171324388988,#CBDEF0,#DCE9F5,#CBDEF0,12.1998791788105,17.3064684786874,29.5063476574979,#FFD7A5,#FFEBD2,#FFD7A5,1.93802654995229,0.92978668772446,7.71916076406922,-1.3448593,#FFFFFF,#CBDEF0,#DCE9F5,#DCE9F5
Isaiah Griffin,2092808,Western Illinois,SR,1367,SG,30.5651539691152,44.1930449044685,70.636844618139,21.8017871204604,#DCE9F5,#DCE9F5,#FFFFFF,#FFFFFF,7.5073494385766,2.91023467287851,-2.74210230347731,#FFFFFF,#FFFFFF,#FFFFFF,3.8520344414372,9.97825375809133,13.8302881995285,#FFFFFF,#FFFFFF,#FFFFFF,0.348180314706761,1.15118221571256,3.69646071809356,-2.4130054,#DCE9F5,#DCE9F5,#FFEBD2,#CBDEF0
Jamias Ferere,2553893,Gardner-Webb,FR,920,PF,31.7334427132856,46.7711875331571,75.8520167927767,22.2996085624398,#FFFFFF,#FFFFFF,#FFFFFF,#FFEBD2,7.89160093775105,3.96665003717856,-6.62906417678777,#FFFFFF,#DCE9F5,#DCE9F5,5.10475961393526,14.8096114037781,19.9143710177133,#FFFFFF,#FFFFFF,#FFFFFF,1.3072345357693,1.44250243847433,4.75074648016866,-2.127024,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0
